""          ,"ABBN","ATLN","ADEN","CSGN","GIVN","HOLN","BAER","NESN","NOVN","CFR","ROG","SGSN","UHR","SREN","SCMN","SYNN","SYST","RIGN","UBSN","ZURN"
"2011-09-09",16.09 ,32.84 ,33.64 ,20.27 ,786   ,45.49 ,29.46 ,49.6  ,49.1  ,46.28,141  ,1489  ,354.2,38.6  ,364   ,253.5 ,145.3 ,48.32 ,10.55 ,166.7
"2011-09-12",15.74 ,32.06 ,32.68 ,19.79 ,765   ,44.27 ,28.5  ,48.76 ,47.8  ,45.31,136.5,1448  ,354  ,37.49 ,358.1 ,250   ,143.9 ,47.03 ,10.3  ,159.5
"2011-09-13",15.73 ,32.1  ,33.7  ,20.33 ,753   ,44.42 ,29.18 ,49.05 ,48.35 ,45.21,136.2,1442  ,362  ,37.94 ,357.1 ,250   ,144   ,49.02 ,10.91 ,163.7
"2011-09-14",16.1  ,32.77 ,34.91 ,20.5  ,757.5 ,44.92 ,29.66 ,49.08 ,48.85 ,48.04,137.5,1427  ,376.9,38.85 ,356.4 ,254   ,145.5 ,50    ,10.93 ,165.6
"2011-09-15",16.58 ,32.36 ,36.57 ,21.69 ,748.5 ,46.36 ,30.94 ,48.95 ,48.92 ,48.6 ,137.9,1443  ,377.6,40.21 ,359.3 ,258.4 ,145.7 ,50.9  ,9.75  ,173
"2011-09-16",16.54 ,32.1  ,37.31 ,22.72 ,735   ,47.35 ,30.06 ,48.7  ,49.1  ,49.15,136.5,1429  ,381.3,41.11 ,358.5 ,253.8 ,146.8 ,51.4  ,10.26 ,174.3
"2011-09-19",15.92 ,31.47 ,36.01 ,21.31 ,731.5 ,45.47 ,29.26 ,48.63 ,48.72 ,47.22,134  ,1426  ,369.7,39.2  ,357.1 ,250.8 ,146.3 ,50.85 ,10.07 ,167
"2011-09-20",16.31 ,31.3  ,36.97 ,21.61 ,747.5 ,46.84 ,29.55 ,49.36 ,49.42 ,49.22,138  ,1438  ,382.1,40.03 ,363.7 ,254.2 ,147.8 ,52.8  ,10.21 ,174.1
"2011-09-21",16.23 ,30.5  ,36.48 ,22.37 ,736.5 ,46.03 ,29.25 ,49.2  ,49.68 ,48.9 ,138.9,1446  ,378.7,39.7  ,363.8 ,250.6 ,147.5 ,51.85 ,10.29 ,175.9
"2011-09-22",15.4  ,28.86 ,34.59 ,20.95 ,710.5 ,44.07 ,27.67 ,48.37 ,48.85 ,44.59,135.4,1388  ,347.7,38.29 ,355   ,236.7 ,144.8 ,47.72 ,9.66  ,169
